Time Unit,Vervet Population,Predator Population
1,197,3
2,197,3
3,197,3
4,197,3
5,197,3
6,197,3
7,197,3
8,197,3
9,197,3
10,197,3
11,196,3
12,196,3
13,196,3
14,196,3
15,195,3
16,194,3
17,193,3
18,192,3
19,191,3
20,191,3
21,191,3
22,191,3
23,191,3
24,190,3
25,190,3
26,190,3
27,190,3
28,190,3
29,190,3
30,190,3
31,186,3
32,186,3
33,186,3
34,184,3
35,184,3
36,184,3
37,184,3
38,183,3
39,183,3
40,182,3
41,182,3
42,182,3
43,182,3
44,182,3
45,182,3
46,182,3
47,182,3
48,182,3
49,182,3
50,182,3
51,182,3
52,182,3
53,181,3
54,181,3
55,181,3
56,180,3
57,180,3
58,180,3
59,180,3
60,180,3
61,173,3
62,173,3
63,173,3
64,173,3
65,173,3
66,172,3
67,172,3
68,172,3
69,172,3
70,172,3
71,172,3
72,172,3
73,172,3
74,172,3
75,172,3
76,172,3
77,172,3
78,172,3
79,172,3
80,172,3
81,171,3
82,171,3
83,171,3
84,170,3
85,170,3
86,170,3
87,170,3
88,170,3
89,170,3
90,170,3
91,167,3
92,167,3
93,167,3
94,167,3
95,167,3
96,167,3
97,167,3
98,167,3
99,167,3
100,167,3
101,167,3
102,167,3
103,167,3
104,167,3
105,167,3
106,167,3
107,167,3
108,167,3
109,167,3
110,166,3
111,166,3
112,166,3
113,166,3
114,166,3
115,166,3
116,165,3
117,165,3
118,165,3
119,165,3
120,165,3
121,159,3
122,159,3
123,159,3
124,159,3
125,159,3
126,159,3
127,159,3
128,159,3
129,159,3
130,159,3
131,159,3
132,159,3
133,159,3
134,159,3
135,159,3
136,159,3
137,158,3
138,158,3
139,158,3
140,157,3
141,157,3
142,157,3
143,157,3
144,157,3
145,157,3
146,157,3
147,157,3
148,157,3
149,157,3
150,157,3
151,157,3
152,157,3
153,157,3
154,157,3
155,157,3
156,157,3
157,157,3
158,157,3
159,157,3
160,157,3
161,157,3
162,157,3
163,157,3
164,157,3
165,157,3
166,157,3
167,157,3
168,157,3
169,157,3
170,157,3
171,157,3
172,157,3
173,157,3
174,157,3
175,157,3
176,157,3
177,157,3
178,157,3
179,157,3
180,157,3
181,156,3
182,156,3
183,156,3
184,156,3
185,156,3
186,156,3
187,156,3
188,156,3
189,156,3
190,156,3
191,156,3
192,156,3
193,156,3
194,156,3
195,156,3
196,156,3
197,156,3
198,156,3
199,155,3
200,155,3
201,155,3
202,155,3
203,155,3
204,155,3
205,155,3
206,155,3
207,155,3
208,155,3
209,155,3
210,155,3
211,153,3
212,153,3
213,153,3
214,153,3
215,153,3
216,153,3
217,153,3
218,153,3
219,153,3
220,153,3
221,153,3
222,153,3
223,153,3
224,153,3
225,153,3
226,153,3
227,153,3
228,153,3
229,153,3
230,153,3
231,153,3
232,153,3
233,153,3
234,152,3
235,152,3
236,152,3
237,152,3
238,152,3
239,152,3
240,152,3
241,151,3
242,151,3
243,151,3
244,151,3
245,151,3
246,151,3
247,150,3
248,150,3
249,150,3
250,150,3
251,150,3
252,150,3
253,150,3
254,150,3
255,150,3
256,150,3
257,150,3
258,150,3
259,150,3
260,150,3
261,150,3
262,150,3
263,150,3
264,149,3
265,149,3
266,149,3
267,149,3
268,149,3
269,149,3
270,149,3
271,149,3
272,149,3
273,149,3
274,149,3
275,149,3
276,149,3
277,149,3
278,149,3
279,149,3
280,149,3
281,149,3
282,149,3
283,149,3
284,149,3
285,149,3
286,149,3
287,149,3
288,149,3
289,149,3
290,149,3
291,149,3
292,149,3
293,149,3
294,149,3
295,149,3
296,149,3
297,149,3
298,149,3
299,149,3
300,149,3
301,148,3
302,148,3
303,148,3
304,148,3
305,148,3
306,148,3
307,148,3
308,148,3
309,148,3
310,148,3
311,148,3
312,148,3
313,148,3
314,148,3
315,148,3
316,148,3
317,148,3
318,148,3
319,148,3
320,148,3
321,148,3
322,148,3
323,148,3
324,148,3
325,148,3
326,148,3
327,148,3
328,148,3
329,148,3
330,148,3
331,148,3
332,148,3
333,148,3
334,148,3
335,148,3
336,148,3
337,148,3
338,148,3
339,148,3
340,148,3
341,148,3
342,148,3
343,148,3
344,148,3
345,148,3
346,148,3
347,148,3
348,148,3
349,148,3
350,148,3
351,148,3
352,148,3
353,148,3
354,148,3
355,148,3
356,148,3
357,148,3
358,148,3
359,148,3
360,148,3
361,147,3
362,147,3
363,147,3
364,147,3
365,147,3
366,147,3
367,147,3
368,147,3
369,147,3
370,147,3
371,147,3
372,147,3
373,147,3
374,147,3
375,147,3
376,147,3
377,147,3
378,147,3
379,147,3
380,147,3
381,147,3
382,147,3
383,147,3
384,147,3
385,147,3
386,147,3
387,147,3
388,147,3
389,146,3
390,146,3
391,146,3
392,146,3
393,145,3
394,145,3
395,145,3
396,145,3
397,145,3
398,145,3
399,145,3
400,145,3
401,145,3
402,145,3
403,145,3
404,145,3
405,145,3
406,145,3
407,145,3
408,145,3
409,145,3
410,145,3
411,145,3
412,145,3
413,145,3
414,145,3
415,145,3
416,145,3
417,144,3
418,144,3
419,144,3
420,144,3
421,142,3
422,142,3
423,142,3
424,142,3
425,142,3
426,142,3
427,142,3
428,142,3
429,142,3
430,142,3
431,142,3
432,142,3
433,142,3
434,142,3
435,142,3
436,142,3
437,142,3
438,142,3
439,142,3
440,142,3
441,142,3
442,142,3
443,142,3
444,142,3
445,142,3
446,142,3
447,142,3
448,142,3
449,142,3
450,142,3
451,142,3
452,142,3
453,142,3
454,142,3
455,142,3
456,142,3
457,142,3
458,142,3
459,142,3
460,141,3
461,141,3
462,141,3
463,141,3
464,141,3
465,141,3
466,141,3
467,141,3
468,141,3
469,141,3
470,141,3
471,141,3
472,141,3
473,141,3
474,141,3
475,141,3
476,141,3
477,141,3
478,141,3
479,141,3
480,141,3
481,141,3
482,141,3
483,141,3
484,141,3
485,141,3
486,141,3
487,141,3
488,141,3
489,141,3
490,141,3
491,141,3
492,141,3
493,141,3
494,141,3
495,141,3
496,141,3
497,141,3
498,141,3
499,141,3
500,141,3
501,141,3
502,141,3
503,141,3
504,141,3
505,141,3
506,141,3
507,141,3
508,141,3
509,141,3
510,141,3
511,141,3
512,141,3
