Time Unit,Vervet Population,Leopard Population,Hawk Population,Python Population,Predator Population,Deaths due to Leopard,Deaths due to Hawk,Deaths due to Python,Total Predation Deaths,Starvation Deaths,Average Fear Level,Average Hunger Level,Average Energy Level
1,199,1,1,1,3,0,0,0,0,1,0,477.76817414058166,512.1815746031369
2,199,1,1,1,3,0,0,0,0,1,0,476.6423311063263,513.3074176373923
3,198,1,1,1,3,0,0,0,0,2,0,473.07704878904417,516.8219411099458
4,198,1,1,1,3,0,0,0,0,2,0,472.1179445495948,517.781045349395
5,198,1,1,1,3,0,0,0,0,2,0,471.1514719724005,518.7475179265896
6,198,1,1,1,3,0,0,0,0,2,0,469.8943929659071,520.0045969330828
7,198,1,1,1,3,0,0,0,0,2,0,468.4684517452995,521.4305381536905
8,198,1,1,1,3,0,0,0,0,2,0,466.9016280879876,522.9973618110025
9,198,1,1,1,3,0,0,0,0,2,0,464.86846742206984,525.0305224769199
10,197,1,1,1,3,0,0,0,0,3,0,459.88942814445164,529.958287591589
11,197,1,1,1,3,0,0,0,0,3,0,457.092853603677,532.7548621323638
12,197,1,1,1,3,0,0,0,0,3,0,454.1881478288092,535.6595679072316
13,197,1,1,1,3,0,0,0,0,3,0,450.8682955015432,538.9794202344973
14,197,1,1,1,3,0,0,0,0,3,0,447.5956599079876,542.2520558280529
15,196,1,1,1,3,0,1,0,1,3,0,442.7617904735789,547.034127893768
16,196,1,1,1,3,0,1,0,1,3,0,439.8253344961102,549.9705838712367
17,196,1,1,1,3,0,1,0,1,3,0,436.3250527117437,553.470865655603
18,196,1,1,1,3,0,1,0,1,3,0,432.7174015279568,557.0785168393902
19,194,1,1,1,3,0,1,0,1,5,0,423.14926425170205,566.5414573977827
20,194,1,1,1,3,0,1,0,1,5,0,419.41883593837514,570.2718857111096
21,194,1,1,1,3,0,1,0,1,5,0,416.3184960896937,573.3722255597912
22,194,1,1,1,3,0,1,0,1,5,0,413.13418255777424,576.5565390917103
23,194,1,1,1,3,0,1,0,1,5,0,409.72365136286186,579.9670702866229
24,194,1,1,1,3,0,1,0,1,5,0,406.1072818477813,583.5834398017034
25,194,1,1,1,3,0,1,0,1,5,0,402.68555566943047,587.005165980054
26,194,1,1,1,3,0,1,0,1,5,0,399.1795968440439,590.5111248054408
27,194,1,1,1,3,0,1,0,1,5,0,395.94705118013985,593.7436704693449
28,193,1,1,1,3,1,1,0,2,5,0,394.24695457808474,595.3903511213973
29,193,1,1,1,3,1,1,0,2,5,0,390.8591715318924,598.778134167589
30,193,1,1,1,3,1,1,0,2,5,0,439.3196910186193,550.3176146808623
31,186,1,1,1,3,1,1,0,2,12,0,409.6006851153698,579.6466267125871
32,186,1,1,1,3,1,1,0,2,12,0,401.6157113229619,587.631600504995
33,186,1,1,1,3,1,1,0,2,12,0,397.3592986323025,591.8880131956543
34,185,1,1,1,3,1,1,0,2,13,0,389.87972438008967,599.3094648090995
35,185,1,1,1,3,1,1,0,2,13,0,385.35408288428465,603.8351063049043
36,185,1,1,1,3,1,1,0,2,13,0,380.44071365124506,608.748475537944
37,185,1,1,1,3,1,1,0,2,13,0,375.79973215119304,613.3894570379963
38,185,1,1,1,3,1,1,0,2,13,0,370.8536032313714,618.335585957818
39,185,1,1,1,3,1,1,0,2,13,0,366.4734995748633,622.715689614326
40,185,1,1,1,3,1,1,0,2,13,0,362.638245846036,626.5509433431532
41,185,1,1,1,3,1,1,0,2,13,0,358.6183856302921,630.5708035588968
42,185,1,1,1,3,1,1,0,2,13,0,355.19803243956136,633.991156749628
43,185,1,1,1,3,1,1,0,2,13,0,351.4556056469208,637.7335835422684
44,185,1,1,1,3,1,1,0,2,13,0,348.11140892126593,641.0777802679233
45,185,1,1,1,3,1,1,0,2,13,0,344.75843464444347,644.4307545447456
46,185,1,1,1,3,1,1,0,2,13,0,341.4996834407347,647.6895057484546
47,185,1,1,1,3,1,1,0,2,13,0,338.17502315056686,651.0141660386222
48,185,1,1,1,3,1,1,0,2,13,0,335.5896615052216,653.5995276839675
49,185,1,1,1,3,1,1,0,2,13,0,332.9976908082264,656.191498380962
50,185,1,1,1,3,1,1,0,2,13,0,330.23626611923424,658.9529230699553
51,185,1,1,1,3,1,1,0,2,13,0,327.7691013478351,661.4200878413541
52,185,1,1,1,3,1,1,0,2,13,0,325.50336468105405,663.6858245081354
53,185,1,1,1,3,1,1,0,2,13,0,323.058062089152,666.1311271000372
54,185,1,1,1,3,1,1,0,2,13,0,321.0480699253338,668.1411192638561
55,184,1,1,1,3,1,1,0,2,14,0,315.81667241800506,673.3137623646038
56,184,1,1,1,3,1,1,0,2,14,0,314.3838161192975,674.7466186633116
57,183,1,1,1,3,1,1,0,2,15,0,309.29295869144084,679.7780795599256
58,182,1,1,1,3,1,1,0,2,16,0,304.44914076460253,684.5618482463864
59,182,1,1,1,3,1,1,0,2,16,0,303.38979453575456,685.6211944752338
60,182,1,1,1,3,1,1,0,2,16,0,349.5304160931233,639.4805729178656
61,178,1,1,1,3,1,1,0,2,20,0,323.88470540217406,664.879339541646
62,178,1,1,1,3,1,1,0,2,20,0,316.1457440868107,672.61830085701
63,177,1,1,1,3,1,1,0,2,21,0,308.0348611232338,680.665703848518
64,177,1,1,1,3,1,1,0,2,21,0,305.2824887368221,683.4180762349293
