Time Unit,Vervet Population,Leopard Population,Hawk Population,Python Population,Predator Population,Deaths due to Leopard,Deaths due to Hawk,Deaths due to Python,Total Predation Deaths,Starvation Deaths,Average Fear Level,Average Hunger Level,Average Energy Level
1,198,1,1,1,3,0,0,0,0,2,0,478.6968894104903,511.2021004884996
2,196,1,1,1,3,0,0,0,0,4,0,472.79019661417703,517.0057217531697
3,196,1,1,1,3,0,0,0,0,4,0,472.1174853053948,517.6784330619522
4,196,1,1,1,3,0,0,0,0,4,0,471.4777865819692,518.3181317853779
5,196,1,1,1,3,0,0,0,0,4,0,470.5301218916939,519.2657964756531
6,195,1,1,1,3,0,0,0,0,5,0,466.5945094965663,523.1490802470233
7,195,1,1,1,3,0,0,0,0,5,0,464.686481545874,525.0571081977157
8,195,1,1,1,3,0,0,0,0,5,0,462.7888758782046,526.9547138653853
9,194,1,1,1,3,0,0,0,0,6,0,456.9901398881873,532.7005817612973
10,194,1,1,1,3,0,0,0,0,6,0,453.5968674502717,536.0938541992131
11,194,1,1,1,3,0,0,0,0,6,0,450.0862425295137,539.6044791199707
12,194,1,1,1,3,0,0,0,0,6,0,446.46521662564106,543.2255050238435
13,193,1,1,1,3,0,1,0,1,6,0,443.8503831387869,545.7869225606951
14,193,1,1,1,3,0,1,0,1,6,0,439.68232865411125,549.9549770453707
15,193,1,1,1,3,0,1,0,1,6,0,435.4341849206194,554.2031207788625
16,193,1,1,1,3,0,1,0,1,6,0,431.25588989354617,558.3814158059358
17,193,1,1,1,3,0,1,0,1,6,0,427.0133665825106,562.6239391169712
18,193,1,1,1,3,0,1,0,1,6,0,422.4164466559471,567.2208590435351
19,193,1,1,1,3,0,1,0,1,6,0,417.9561184138882,571.6811872855939
20,192,1,1,1,3,1,1,0,2,6,0,414.20762059753764,575.3757127357957
21,192,1,1,1,3,1,1,0,2,6,0,410.8867981509816,578.696535182352
22,192,1,1,1,3,1,1,0,2,6,0,407.3992607133921,582.1840726199414
23,192,1,1,1,3,1,1,0,2,6,0,402.98517810392303,586.5981552294102
24,191,1,1,1,3,1,1,0,2,7,0,395.6962326859457,593.832563125573
25,191,1,1,1,3,1,1,0,2,7,0,391.48889252837415,598.0399032831442
26,191,1,1,1,3,1,1,0,2,7,0,387.12227413966485,602.4065216718535
27,191,1,1,1,3,1,1,0,2,7,0,382.60955410434764,606.9192417071706
28,191,1,1,1,3,1,1,0,2,7,0,378.3236032686834,611.2051925428349
29,191,1,1,1,3,1,1,0,2,7,0,373.95436025358174,615.5744355579365
30,191,1,1,1,3,1,1,0,2,7,7,420.41808165178986,569.1107141597284
31,187,1,1,1,3,1,1,0,2,11,60,401.3082997070417,587.9965131271825
32,187,1,1,1,3,1,1,0,2,11,60,395.3351262578574,593.9696865763674
