Time Unit,Vervet Population,Leopard Population,Hawk Population,Python Population,Predator Population,Deaths due to Leopard,Deaths due to Hawk,Deaths due to Python,Total Predation Deaths,Starvation Deaths,Average Fear Level,Average Hunger Level,Average Energy Level
1,197,1,1,1,3,0,0,0,0,3,0,499.80741900327206,490.0402967327684
2,196,1,1,1,3,0,0,0,0,4,0,496.08614476180657,493.7097736055404
3,195,1,1,1,3,0,0,0,0,5,0,491.6909498198788,498.0526399237109
4,195,1,1,1,3,0,0,0,0,5,0,490.1838378850858,499.55975185850394
5,195,1,1,1,3,0,0,0,0,5,0,488.6747491668905,501.0688405766994
6,195,1,1,1,3,0,0,0,0,5,0,486.831684011872,502.91190573171747
7,195,1,1,1,3,0,0,0,0,5,0,484.8491858678396,504.8944038757503
8,195,1,1,1,3,0,0,0,0,5,0,482.5015651936916,507.24202454989813
9,195,1,1,1,3,0,0,0,0,5,0,480.1751906493016,509.56839909428817
10,195,1,1,1,3,0,0,0,0,5,0,477.0694488953143,512.6741408482754
11,194,1,1,1,3,0,0,0,0,6,0,471.2012614791165,518.4894601703681
12,194,1,1,1,3,0,0,0,0,6,0,467.8986041930285,521.792117456456
13,194,1,1,1,3,0,0,0,0,6,0,464.80610090299587,524.8846207464886
14,194,1,1,1,3,0,0,0,0,6,0,461.76962850716933,527.9210931423155
15,194,1,1,1,3,0,0,0,0,6,0,457.9718899056864,531.7188317437984
16,194,1,1,1,3,0,0,0,0,6,0,453.85593124274646,535.8347904067381
17,194,1,1,1,3,0,0,0,0,6,0,449.6126553192387,540.0780663302457
18,194,1,1,1,3,0,0,0,0,6,0,445.31063240790974,544.380089241575
19,194,1,1,1,3,0,0,0,0,6,0,441.197308713367,548.4934129361175
20,194,1,1,1,3,0,0,0,0,6,0,437.2777711097694,552.4129505397149
21,194,1,1,1,3,0,0,0,0,6,0,433.080855061218,556.6098665882668
22,194,1,1,1,3,0,0,0,0,6,0,427.76159944311286,561.9291222063716
23,194,1,1,1,3,0,0,0,0,6,0,422.8174385925672,566.8732830569174
24,194,1,1,1,3,0,0,0,0,6,0,418.3303299399849,571.3603917094996
25,194,1,1,1,3,0,0,0,0,6,0,413.63930417965554,576.0514174698292
26,194,1,1,1,3,0,0,0,0,6,0,408.81847757124183,580.8722440782424
27,194,1,1,1,3,0,0,0,0,6,0,404.21954506007955,585.471176589405
28,194,1,1,1,3,0,0,0,0,6,0,400.0046314933429,589.6860901561415
29,194,1,1,1,3,0,0,0,0,6,0,395.89602159085746,593.794700058627
30,194,1,1,1,3,0,0,0,0,6,11,438.1680510191929,551.522670630292
31,187,1,1,1,3,0,0,0,0,13,11,409.42980566423114,579.8750071699938
32,187,1,1,1,3,0,0,0,0,13,11,404.9297242253731,584.3750886088516
33,187,1,1,1,3,0,0,0,0,13,11,401.67489828936647,587.629914544858
34,187,1,1,1,3,0,0,0,0,13,11,398.02133639159945,591.2834764426253
35,187,1,1,1,3,0,0,0,0,13,11,394.31991266429316,594.9849001699315
36,187,1,1,1,3,0,0,0,0,13,11,391.0909610294838,598.2138518047408
37,187,1,1,1,3,0,0,0,0,13,11,387.9485659356355,601.3562468985892
38,187,1,1,1,3,0,0,0,0,13,11,385.18402533558327,604.1207874986413
39,187,1,1,1,3,0,0,0,0,13,11,381.9897012758762,607.3151115583482
40,185,1,1,1,3,0,0,0,0,15,11,372.44905784043334,616.7401313487559
41,185,1,1,1,3,0,0,0,0,15,11,369.36278664615315,619.8264025430362
42,185,1,1,1,3,0,0,0,0,15,11,366.63548591344295,622.5537032757466
43,185,1,1,1,3,0,0,0,0,15,11,364.1126809174729,625.076508271716
44,185,1,1,1,3,0,0,0,0,15,11,361.694984768874,627.4942044203152
45,185,1,1,1,3,0,0,0,0,15,11,359.50619653319427,629.6829926559951
46,185,1,1,1,3,0,0,0,0,15,11,357.2687949408721,631.9203942483169
47,185,1,1,1,3,0,0,0,0,15,11,355.0967396601082,634.0924495290811
48,185,1,1,1,3,0,0,0,0,15,11,353.08908477266306,636.1001044165262
49,185,1,1,1,3,0,0,0,0,15,11,350.87689058817983,638.3122986010093
50,184,1,1,1,3,0,0,0,0,16,11,345.2333521838405,643.8970825987678
51,184,1,1,1,3,0,0,0,0,16,11,343.1424436024943,645.9879911801144
52,184,1,1,1,3,0,0,0,0,16,11,341.208233889287,647.9222008933217
53,184,1,1,1,3,0,0,0,0,16,11,338.96303018376943,650.1674045988392
54,184,1,1,1,3,0,0,0,0,16,11,336.77872842276304,652.3517063598454
55,184,1,1,1,3,0,0,0,0,16,11,334.83658187844236,654.2938529041666
56,184,1,1,1,3,0,0,0,0,16,11,333.20639543214236,655.9240393504663
57,184,1,1,1,3,0,0,0,0,16,11,331.8227572483582,657.3076775342504
58,183,1,1,1,3,1,0,0,1,16,12,331.8180745748998,657.2529636764658
59,183,1,1,1,3,1,0,0,1,16,12,330.29557887428285,658.7754593770832
60,183,1,1,1,3,1,0,0,1,16,29,372.67035310898865,616.4006851423774
61,180,1,1,1,3,1,0,0,1,19,30,353.5725495183056,635.3163393705835
62,179,1,1,1,3,1,0,0,1,20,30,345.676816219153,643.1499994233053
63,179,1,1,1,3,1,0,0,1,20,30,343.31536357172996,645.5114520707285
64,179,1,1,1,3,1,0,0,1,20,30,341.2943205805388,647.5324950619193
65,179,1,1,1,3,1,0,0,1,20,30,339.53894693169786,649.2878687107603
66,179,1,1,1,3,1,0,0,1,20,30,337.5565428839776,651.2702727584806
67,179,1,1,1,3,1,0,0,1,20,30,335.3933755492395,653.433440093218
68,179,1,1,1,3,1,0,0,1,20,30,333.5292271979233,655.2975884445352
69,179,1,1,1,3,1,0,0,1,20,30,331.37841197657326,657.448403665885
70,179,1,1,1,3,1,0,0,1,20,30,329.3443716631559,659.4824439793025
71,179,1,1,1,3,1,0,0,1,20,30,327.57309327675944,661.2537223656986
72,179,1,1,1,3,1,0,0,1,20,30,325.6848723419705,663.1419433004876
73,179,1,1,1,3,1,0,0,1,20,30,323.7125828158043,665.1142328266537
74,179,1,1,1,3,1,0,0,1,20,30,321.8915116419787,666.9353040004796
75,178,1,1,1,3,1,0,0,1,21,30,316.13877100301227,672.6252739408078
76,178,1,1,1,3,1,0,0,1,21,30,314.6206108462012,674.1434340976188
77,178,1,1,1,3,1,0,0,1,21,30,313.37700299467417,675.3870419491465
78,178,1,1,1,3,1,0,0,1,21,30,312.02782776447333,676.7362171793472
79,178,1,1,1,3,1,0,0,1,21,30,310.73825908154316,678.0257858622771
80,178,1,1,1,3,1,0,0,1,21,30,309.67899940218564,679.0850455416345
81,178,1,1,1,3,1,0,0,1,21,30,308.41330000169603,680.3507449421245
82,178,1,1,1,3,1,0,0,1,21,30,307.4912894902694,681.2727554535516
83,178,1,1,1,3,1,0,0,1,21,30,306.25156849278255,682.5124764510376
84,178,1,1,1,3,1,0,0,1,21,30,305.03965585236733,683.7243890914531
85,178,1,1,1,3,1,0,0,1,21,30,304.09875172489274,684.6652932189273
