Time Unit,Average Fear Level,Average Hunger Level,Average Energy Level
Time Unit,Vervet Population,Predator Population
1,0,492.58514541633946,452.4148545836605
2,0,490.9053765339639,453.8182415564884
3,0,488.1510582799599,456.2933861644846
4,0,484.54855902068414,459.61387752753933
5,0,483.35617105949666,460.8062654887267
6,0,481.7198351773232,462.4426013709
7,0,480.07413783964836,463.8034131807598
8,0,477.97697726457403,465.900573755834
9,0,473.4372140890002,470.1525295007435
10,0,471.72534705936187,471.8643965303817
11,0,469.7335702589549,473.8561733307886
12,0,466.10694003381496,476.8982413133352
13,0,461.3839901995402,481.32434313379304
14,0,459.6060419607314,483.10229137260194
15,0,458.0132060877695,484.69512724556375
16,0,456.4660550688014,486.24227826453193
17,0,454.6271059920345,488.08122734129887
18,0,452.8128769253726,489.89545640796064
19,0,450.84091047701486,491.86742285631846
20,0,448.596755994435,494.11157733889826
21,0,445.34391867686736,496.7613444810274
22,0,443.27685995054054,498.82840320735437
23,0,441.0788220842506,501.02644107364415
24,0,438.75304753772497,503.3522156201699
25,0,436.3448904911834,505.76037266671136
26,0,434.25010286639383,507.8551602915011
27,0,426.0632767538504,515.4260849482774
28,0,423.5421280156253,517.9472336865026
29,0,421.0747246772069,520.4146370249209
30,12,467.6303611992676,473.85900050286017
31,12,428.13128148292077,509.7218258617119
32,9,424.38172735010625,513.1182726498937
33,9,420.77256784986713,516.7274321501328
34,9,417.49364412063227,520.0063558793679
35,4,416.2032091549609,520.9396479878963
36,4,412.9082525171962,524.234604625661
37,4,409.54009480310197,527.6027623397553
38,4,406.1080162585548,531.0348408843024
39,4,402.77292390821344,534.369933234644
40,4,399.52120275924653,537.6216543836105
41,4,396.1499892330009,540.9928679098563
42,4,389.74598385532266,547.0356253400794
43,4,386.87514075381927,549.9064684415829
44,4,385.9560912020137,550.4600937690844
45,4,382.9928515132044,553.4233334578939
46,4,380.1027948588271,556.3133901122713
47,4,376.931806422776,559.4843785483225
48,4,373.63818238371005,562.7780025873884
49,4,370.5277536904259,565.8884312806726
50,4,367.376175896342,569.0400090747559
51,4,364.535441045206,571.8807439258921
52,4,357.80115977980137,578.2453518481057
53,4,354.8589754364761,581.1875361914309
54,4,352.072113050142,583.9743985777648
55,4,349.1678365706874,586.8786750572199
56,4,346.5913746966507,589.4551369312561
57,4,343.80838427095733,592.2381273569499
58,4,342.63343925027607,593.0390753696067
59,4,340.0318049752691,595.6407096446144
60,66,384.6332803147203,551.0392343051628
61,63,358.69276662473675,575.0421731342996
62,63,353.3739176464595,580.3610221125765
63,63,349.6230267394357,584.1119130196
64,63,346.997325037916,586.7376147211197
65,63,345.0293579330247,588.7055818260111
66,63,342.9702525064471,590.7646872525892
67,63,340.7695804328628,592.965359326173
68,58,338.99646225546473,594.3368710778685
69,58,337.0991295874678,596.2342037458656
70,58,335.5387447413504,597.7945885919828
71,58,334.0238789008466,599.3094544324871
72,58,332.7292939382108,600.6040393951224
73,58,331.54070481685216,601.792628516481
74,58,330.6324739271194,602.7008594062135
75,58,330.1129396292297,603.2203937041038
76,58,329.5211222399636,603.8122110933699
77,58,328.76118787135204,604.572145461981
78,58,328.09022626113176,605.2431070722014
79,58,327.24066194496635,606.092671388367
80,58,326.3502486615699,606.9830846717634
81,58,325.6162175910815,607.7171157422521
82,58,324.7724324358253,608.5609008975083
