Time Unit,Leopard Deaths,Hawk Deaths,Python Deaths,Total Predation Deaths
2,0,1,0,1
11,1,1,0,2
33,1,1,1,3
384,2,1,1,4
685,3,1,1,5
784,3,1,2,6
922,3,2,2,7
1017,4,2,2,8
1019,4,3,2,9
1170,4,3,3,10
1233,4,4,3,11
1251,5,4,3,12
1356,5,5,3,13
1403,6,5,3,14
1471,6,5,4,15
1657,6,6,4,16
1698,7,6,4,17
1775,7,6,5,18
1782,7,6,6,19
1958,7,7,6,20
2002,8,7,6,21
2014,9,7,6,22
2024,9,8,6,23
2025,9,9,6,24
2083,9,9,7,25
2163,9,9,8,26
2218,10,9,8,27
2278,10,9,9,28
2308,10,10,9,29
2325,10,11,9,30
2332,11,11,9,31
2337,12,11,9,32
2339,12,12,9,33
2564,12,12,10,34
2579,12,12,11,35
2626,12,13,11,36
2652,13,13,11,37
2661,13,14,11,38
2702,14,14,11,39
2854,15,14,11,40
2871,15,14,12,41
2997,15,15,12,42
2997,15,15,13,43
3002,16,15,13,44
3007,16,15,14,45
3013,16,16,14,46
3016,16,17,14,47
3101,16,17,15,48
3136,17,17,15,49
3212,18,17,15,50
3298,18,17,16,51
3314,18,18,16,52
3317,18,19,16,53
3346,18,19,17,54
3361,18,20,17,55
3466,19,20,17,56
3491,20,20,17,57
3532,21,20,17,58
3647,21,20,18,59
3721,21,21,18,60
3737,21,22,18,61
3745,21,23,18,62
3782,21,23,19,63
3922,22,23,19,64
3967,23,23,19,65
4002,23,23,20,66
4002,23,23,21,67
4008,24,23,21,68
4010,24,23,22,69
4014,24,23,23,70
4030,25,23,23,71
4038,25,24,23,72
4047,26,24,23,73
4060,27,24,23,74
4061,27,24,24,75
4083,27,24,25,76
4087,27,24,26,77
4103,27,25,26,78
4176,27,25,27,79
4223,28,25,27,80
4268,29,25,27,81
4390,29,25,28,82
4411,30,25,28,83
4434,30,25,29,84
4447,30,25,30,85
4467,30,25,31,86
4502,30,26,31,87
4510,31,26,31,88
4578,32,26,31,89
4633,33,26,31,90
4694,33,27,31,91
4699,33,27,32,92
4715,34,27,32,93
4759,34,27,33,94
4799,35,27,33,95
4856,36,27,33,96
