Time Unit,Vervet Population,Predator Population
1,197,3
2,196,3
3,196,3
4,196,3
5,196,3
6,196,3
7,195,3
8,195,3
9,194,3
10,194,3
11,194,3
12,193,3
13,193,3
14,193,3
15,193,3
16,193,3
17,193,3
18,193,3
19,193,3
20,193,3
21,193,3
22,193,3
23,192,3
24,192,3
25,192,3
26,192,3
27,190,3
28,190,3
29,190,3
30,189,3
31,189,3
32,189,3
33,188,3
34,187,3
35,187,3
36,187,3
37,187,3
38,187,3
39,187,3
40,187,3
41,187,3
42,187,3
43,187,3
44,187,3
45,187,3
46,187,3
47,187,3
48,187,3
49,187,3
50,186,3
51,186,3
52,186,3
53,186,3
54,186,3
55,186,3
56,186,3
57,186,3
58,186,3
59,185,3
60,185,3
61,185,3
62,185,3
63,185,3
64,185,3
65,183,3
66,183,3
67,183,3
68,183,3
69,183,3
70,183,3
71,183,3
72,183,3
73,183,3
74,183,3
75,183,3
76,183,3
77,183,3
78,183,3
79,183,3
80,183,3
81,183,3
82,183,3
83,183,3
84,183,3
85,183,3
86,183,3
87,183,3
88,183,3
89,183,3
90,183,3
91,180,3
92,180,3
93,180,3
94,180,3
95,180,3
96,180,3
97,180,3
98,180,3
99,180,3
100,180,3
101,180,3
102,179,3
103,179,3
104,179,3
105,179,3
106,178,3
107,178,3
108,178,3
109,178,3
110,178,3
111,178,3
112,178,3
113,178,3
114,178,3
115,178,3
116,178,3
117,178,3
118,178,3
119,178,3
120,178,3
121,178,3
122,178,3
123,178,3
124,178,3
125,178,3
126,177,3
127,177,3
128,177,3
129,177,3
130,177,3
131,177,3
132,177,3
133,177,3
134,177,3
135,177,3
136,177,3
137,177,3
138,177,3
139,177,3
140,177,3
141,177,3
142,177,3
143,177,3
144,177,3
145,177,3
146,177,3
147,177,3
148,177,3
149,177,3
150,177,3
151,177,3
152,177,3
153,176,3
154,176,3
155,176,3
156,176,3
157,176,3
158,176,3
159,176,3
160,176,3
161,176,3
162,176,3
163,176,3
164,176,3
165,176,3
166,176,3
167,176,3
168,176,3
169,176,3
170,176,3
171,176,3
172,176,3
173,176,3
174,176,3
175,176,3
176,176,3
177,176,3
178,176,3
179,176,3
180,176,3
181,176,3
182,176,3
183,176,3
184,176,3
185,176,3
186,176,3
187,176,3
188,176,3
189,176,3
190,176,3
191,175,3
192,175,3
193,175,3
194,175,3
195,175,3
196,175,3
197,175,3
198,175,3
199,175,3
200,175,3
201,175,3
202,175,3
203,175,3
204,175,3
205,175,3
206,175,3
207,174,3
208,174,3
209,174,3
210,174,3
211,174,3
212,174,3
213,174,3
214,174,3
215,174,3
216,174,3
217,174,3
218,174,3
219,174,3
220,174,3
221,174,3
222,174,3
223,174,3
224,174,3
225,174,3
226,174,3
227,174,3
228,174,3
229,174,3
230,174,3
231,174,3
232,174,3
233,174,3
234,174,3
235,174,3
236,174,3
237,174,3
238,174,3
239,174,3
240,174,3
241,173,3
242,173,3
243,173,3
244,173,3
245,173,3
246,173,3
247,173,3
248,173,3
249,173,3
250,173,3
251,173,3
252,172,3
253,172,3
254,172,3
255,172,3
256,172,3
257,172,3
258,172,3
259,172,3
260,172,3
261,172,3
262,172,3
263,172,3
264,172,3
265,172,3
266,172,3
267,172,3
268,172,3
269,172,3
270,172,3
271,172,3
272,172,3
273,172,3
274,172,3
275,172,3
276,172,3
277,172,3
278,172,3
279,172,3
280,172,3
281,172,3
282,172,3
283,172,3
284,172,3
285,172,3
286,172,3
287,172,3
288,172,3
289,172,3
290,172,3
291,172,3
292,172,3
293,172,3
294,172,3
295,172,3
296,172,3
297,172,3
298,172,3
299,172,3
300,172,3
301,172,3
302,172,3
303,172,3
304,172,3
305,172,3
306,172,3
307,172,3
308,172,3
309,172,3
310,172,3
311,172,3
312,172,3
313,172,3
314,172,3
315,172,3
316,172,3
317,172,3
318,172,3
319,172,3
320,172,3
321,172,3
322,172,3
323,172,3
324,172,3
325,172,3
326,172,3
327,172,3
328,172,3
329,172,3
330,172,3
331,172,3
332,172,3
333,172,3
334,172,3
335,172,3
336,172,3
337,172,3
338,172,3
339,172,3
340,172,3
341,172,3
342,172,3
343,172,3
344,172,3
345,172,3
346,172,3
347,172,3
348,172,3
349,172,3
350,172,3
351,172,3
352,172,3
353,172,3
354,172,3
355,172,3
356,172,3
357,172,3
358,172,3
359,172,3
360,172,3
361,172,3
362,172,3
363,172,3
364,172,3
365,172,3
366,172,3
367,172,3
368,172,3
369,172,3
370,172,3
371,172,3
372,172,3
373,172,3
374,172,3
375,172,3
376,172,3
377,172,3
378,172,3
379,172,3
380,172,3
381,172,3
382,172,3
383,172,3
384,172,3
385,172,3
386,172,3
387,172,3
388,172,3
389,172,3
390,172,3
391,172,3
392,172,3
393,172,3
394,172,3
395,172,3
396,172,3
397,172,3
398,172,3
399,172,3
400,172,3
401,172,3
402,172,3
403,171,3
404,171,3
405,171,3
406,171,3
407,171,3
408,171,3
409,171,3
410,171,3
411,171,3
412,171,3
413,171,3
414,171,3
415,171,3
416,171,3
417,171,3
418,171,3
419,171,3
420,171,3
421,171,3
422,171,3
423,171,3
424,171,3
425,171,3
426,171,3
427,171,3
428,171,3
429,171,3
430,171,3
431,171,3
432,171,3
433,171,3
434,171,3
435,171,3
436,171,3
437,171,3
438,171,3
439,171,3
440,171,3
441,171,3
442,171,3
443,171,3
444,171,3
445,171,3
446,171,3
447,171,3
448,171,3
449,171,3
450,171,3
451,171,3
452,171,3
453,171,3
454,171,3
455,171,3
456,171,3
457,171,3
458,171,3
459,171,3
460,171,3
461,171,3
462,171,3
463,171,3
464,171,3
465,171,3
466,171,3
467,171,3
468,171,3
469,171,3
470,171,3
471,171,3
472,171,3
473,171,3
474,171,3
475,171,3
476,171,3
477,171,3
478,171,3
479,171,3
480,171,3
481,171,3
482,171,3
483,171,3
484,171,3
485,171,3
486,171,3
487,171,3
488,171,3
489,171,3
490,171,3
491,171,3
492,171,3
493,171,3
494,171,3
495,171,3
496,171,3
497,171,3
498,171,3
499,171,3
500,171,3
501,171,3
502,171,3
503,171,3
504,171,3
505,171,3
506,171,3
507,171,3
508,171,3
509,171,3
510,171,3
511,171,3
512,171,3
513,171,3
514,171,3
515,171,3
516,171,3
517,171,3
518,171,3
519,171,3
520,171,3
521,171,3
522,171,3
523,171,3
524,171,3
525,171,3
526,171,3
527,171,3
528,171,3
529,171,3
530,171,3
531,171,3
532,171,3
533,171,3
534,171,3
535,171,3
536,171,3
537,171,3
538,171,3
539,171,3
540,171,3
541,171,3
542,171,3
543,171,3
544,171,3
545,171,3
546,171,3
547,171,3
548,171,3
549,171,3
550,171,3
551,171,3
552,171,3
553,171,3
554,171,3
555,171,3
556,171,3
557,171,3
558,171,3
559,171,3
560,171,3
561,171,3
562,171,3
563,171,3
564,171,3
565,171,3
566,171,3
567,171,3
568,171,3
569,171,3
570,171,3
571,171,3
572,171,3
573,171,3
574,171,3
575,171,3
576,171,3
577,171,3
578,170,3
579,170,3
580,170,3
581,170,3
582,170,3
583,170,3
584,170,3
585,170,3
586,170,3
587,170,3
588,170,3
589,170,3
590,170,3
591,170,3
592,170,3
593,170,3
594,170,3
595,170,3
596,170,3
597,170,3
598,170,3
599,170,3
600,170,3
601,170,3
602,170,3
603,170,3
604,170,3
605,170,3
606,170,3
607,170,3
608,170,3
609,170,3
610,170,3
611,170,3
612,170,3
