Time Unit,Vervet Population,Leopard Population,Hawk Population,Python Population,Predator Population,Deaths due to Leopard,Deaths due to Hawk,Deaths due to Python,Total Predation Deaths,Starvation Deaths,Average Fear Level,Average Hunger Level,Average Energy Level
1,98,2,2,2,6,0,0,0,0,2,0,482.58779634809304,517.4122036519069
2,98,2,2,2,6,0,0,0,0,2,0,481.858573313541,518.141426686459
3,98,2,2,2,6,0,0,0,0,2,0,481.1293503326434,518.8706496673565
4,98,2,2,2,6,0,0,0,0,2,0,480.4001274054009,519.5998725945992
5,98,2,2,2,6,0,0,0,0,2,0,479.5952778702958,520.404722129704
6,98,2,2,2,6,0,0,0,0,2,0,478.7526096229274,521.2473903770726
7,98,2,2,2,6,0,0,0,0,2,0,477.87213315546614,522.127866844534
8,98,2,2,2,6,0,0,0,0,2,0,476.95384963717123,523.0461503628288
9,98,2,2,2,6,0,0,0,0,2,0,475.9977535709646,524.0022464290354
10,98,2,2,2,6,0,0,0,0,2,0,474.96603983780705,525.033960162193
11,98,2,2,2,6,0,0,0,0,2,0,473.8965246059219,526.103475394078
12,98,2,2,2,6,0,0,0,0,2,0,472.8270094212152,527.1729905787847
13,98,2,2,2,6,0,0,0,0,2,0,471.6062542875737,528.3937457124263
14,98,2,2,2,6,0,0,0,0,2,0,470.38549919823396,529.614500801766
15,98,2,2,2,6,0,0,0,0,2,50.51020408163265,469.12698471844976,530.8730152815501
16,98,2,2,2,6,0,0,0,0,2,203.71775510204083,468.1332024616041,531.866797538396
17,98,2,2,2,6,0,0,0,0,2,201.6805775510204,467.1394169945399,532.8605830054601
18,98,2,2,2,6,0,0,0,0,2,199.66377177551036,466.14562834971167,533.8543716502884
19,98,2,2,2,6,0,0,0,0,2,197.66713405775505,465.1518365592497,534.8481634407502
20,98,2,2,2,6,0,0,0,0,2,195.69046271717764,464.1202336334837,535.8797663665164
21,98,2,2,2,6,0,0,0,0,2,193.73355809000589,463.01302299193236,536.9869770080677
22,98,2,2,2,6,0,0,0,0,2,191.7962225091059,461.8680068743536,538.1319931256465
23,98,2,2,2,6,0,0,0,0,2,189.87826028401471,460.68516982271154,539.3148301772883
24,98,2,2,2,6,0,0,0,0,2,197.4658955845363,459.502354570945,540.4976454290552
25,98,2,2,2,6,0,0,0,0,2,218.39263249555262,458.3573745607995,541.6426254392004
26,98,2,2,2,6,0,0,0,0,2,216.20870617059714,457.1745882982183,542.8254117017817
27,98,2,2,2,6,0,0,0,0,2,214.0466191088911,455.95399164585785,544.0460083541423
28,98,2,2,2,6,0,0,0,0,2,211.9061529178022,454.73339177283975,545.2666082271602
29,98,2,2,2,6,0,0,0,0,2,209.7870913886243,453.51278871168176,546.4872112883185
30,98,2,2,2,6,0,0,0,0,2,215.1401266781465,452.292190175285,547.7078098247149
31,98,2,2,2,6,0,0,0,0,2,225.6705253112891,451.1472283194321,548.8527716805681
32,98,2,2,2,6,0,0,0,0,2,240.95096291531914,449.9645078503404,550.0354921496594
33,98,2,2,2,6,0,0,0,0,2,277.05150739861114,448.7061943933627,551.2938056066374
34,98,2,2,2,6,0,0,0,0,2,274.2809923246251,447.4100759264148,552.5899240735852
35,98,2,2,2,6,0,0,0,0,2,271.53818240137883,446.0761383405341,553.9238616594658
36,98,2,2,2,6,0,0,0,0,2,268.8228005773651,444.74219364133273,555.2578063586673
37,98,2,2,2,6,0,0,0,0,2,266.13457257159126,443.40824394809215,556.5917560519079
38,98,2,2,2,6,0,0,0,0,2,263.47322684587544,442.03648410246007,557.9635158975399
39,98,2,2,2,6,0,0,0,0,2,260.83849457741667,440.6647193618994,559.3352806381006
40,98,2,2,2,6,0,0,0,0,2,260.6622849718798,439.2551550494528,560.7448449505473
41,98,2,2,2,6,0,0,0,0,2,273.45594335245386,437.84558768663624,562.1544123133638
42,98,2,2,2,6,0,0,0,0,2,270.7213839189293,436.3982054862852,563.6017945137149
43,98,2,2,2,6,0,0,0,0,2,268.0141700797401,434.95081844623536,565.0491815537646
44,98,2,2,2,6,0,0,0,0,2,265.33402837894266,433.5034266150812,566.4965733849189
45,98,2,2,2,6,0,0,0,0,2,275.1107918157293,432.0560561377539,567.9439438622459
46,98,2,2,2,6,0,0,0,0,2,281.98451930648287,430.6464900671339,569.3535099328664
47,98,2,2,2,6,0,0,0,0,2,279.1646741134181,429.16130882228373,570.8386911777161
48,98,2,2,2,6,0,0,0,0,2,276.37302737228396,427.71389811780904,572.2861018821911
49,98,2,2,2,6,0,0,0,0,2,273.60929709856094,426.2664819078998,573.7335180921006
50,98,2,2,2,6,0,0,0,0,2,271.7643850569448,424.8568554579848,575.1431445420151
51,98,2,2,2,6,0,0,0,0,2,269.64086182595497,423.4472243611101,576.5527756388898
