Time Unit,Vervet Population,Predator Population
1,198,3
2,195,3
3,193,3
4,193,3
5,193,3
6,193,3
7,193,3
8,193,3
9,193,3
10,192,3
11,192,3
12,192,3
13,192,3
14,191,3
15,191,3
16,191,3
17,191,3
18,191,3
19,191,3
20,191,3
21,191,3
22,191,3
23,191,3
24,191,3
25,191,3
26,191,3
27,191,3
28,191,3
29,191,3
30,191,3
31,186,3
32,186,3
33,186,3
34,186,3
35,186,3
36,186,3
37,186,3
38,186,3
39,186,3
40,186,3
41,185,3
42,185,3
43,185,3
44,185,3
45,185,3
46,185,3
47,185,3
48,185,3
49,185,3
50,185,3
51,185,3
52,185,3
53,185,3
54,185,3
55,185,3
56,185,3
57,185,3
58,185,3
59,185,3
60,185,3
61,182,3
62,182,3
63,182,3
64,182,3
65,182,3
66,182,3
67,182,3
68,182,3
69,182,3
70,182,3
71,182,3
72,182,3
73,182,3
74,182,3
75,182,3
76,182,3
77,181,3
78,181,3
79,181,3
80,180,3
81,180,3
82,180,3
83,179,3
84,179,3
85,179,3
86,179,3
87,178,3
88,178,3
89,178,3
90,178,3
91,174,3
92,174,3
93,173,3
94,173,3
95,173,3
96,173,3
97,172,3
98,172,3
99,172,3
100,172,3
101,172,3
102,172,3
103,172,3
104,171,3
105,171,3
106,171,3
107,171,3
108,171,3
109,171,3
110,170,3
111,169,3
112,169,3
113,169,3
114,169,3
115,169,3
116,169,3
117,169,3
118,169,3
119,169,3
120,169,3
121,167,3
122,167,3
123,167,3
124,167,3
125,167,3
126,167,3
127,167,3
128,167,3
129,167,3
130,167,3
131,167,3
132,167,3
133,167,3
134,167,3
135,167,3
136,167,3
137,167,3
138,167,3
139,167,3
140,167,3
141,167,3
142,167,3
143,167,3
144,167,3
145,167,3
146,167,3
147,167,3
148,167,3
149,167,3
150,167,3
151,166,3
152,166,3
153,166,3
154,166,3
155,166,3
156,166,3
157,166,3
158,166,3
159,166,3
160,166,3
161,166,3
162,166,3
163,166,3
164,166,3
165,166,3
166,166,3
167,166,3
168,166,3
169,166,3
170,166,3
171,165,3
172,165,3
173,165,3
174,165,3
175,165,3
176,165,3
177,165,3
178,165,3
179,165,3
180,165,3
181,164,3
182,164,3
183,164,3
184,164,3
185,164,3
186,164,3
187,164,3
188,164,3
189,164,3
190,164,3
191,164,3
192,164,3
193,164,3
194,164,3
195,164,3
196,164,3
197,164,3
198,164,3
199,164,3
200,164,3
201,164,3
202,164,3
203,164,3
204,164,3
205,164,3
206,164,3
207,164,3
208,164,3
209,164,3
210,164,3
211,162,3
212,162,3
213,162,3
214,162,3
215,162,3
216,162,3
217,162,3
218,161,3
219,161,3
220,161,3
221,161,3
222,161,3
223,161,3
224,161,3
225,161,3
226,161,3
227,161,3
228,161,3
229,161,3
230,161,3
231,161,3
232,161,3
233,161,3
234,161,3
235,161,3
236,161,3
237,161,3
238,161,3
239,161,3
240,161,3
241,158,3
242,158,3
243,158,3
244,158,3
245,158,3
246,158,3
247,158,3
248,158,3
249,158,3
250,158,3
251,158,3
252,158,3
253,158,3
254,158,3
255,158,3
256,158,3
257,158,3
258,158,3
259,158,3
260,158,3
261,158,3
262,158,3
263,158,3
264,158,3
265,158,3
266,158,3
267,158,3
268,158,3
269,158,3
270,158,3
271,156,3
272,156,3
273,156,3
274,156,3
275,156,3
276,156,3
277,156,3
278,156,3
279,156,3
280,156,3
281,156,3
282,156,3
283,156,3
284,156,3
285,156,3
286,156,3
287,156,3
288,156,3
289,156,3
290,156,3
291,156,3
292,156,3
293,156,3
294,155,3
295,155,3
296,155,3
297,155,3
298,155,3
299,155,3
300,155,3
301,154,3
302,154,3
303,154,3
304,154,3
305,154,3
306,154,3
307,154,3
308,154,3
309,154,3
310,154,3
311,154,3
312,154,3
313,154,3
314,154,3
315,154,3
316,154,3
317,154,3
318,154,3
319,154,3
320,154,3
321,154,3
322,154,3
323,154,3
324,154,3
325,154,3
326,154,3
327,154,3
328,154,3
329,154,3
