Time Unit,Leopard Deaths,Hawk Deaths,Python Deaths,Total Predation Deaths
5,0,1,0,1
22,0,1,1,2
26,1,1,1,3
322,1,2,1,4
356,2,2,1,5
654,2,3,1,6
781,3,3,1,7
989,3,4,1,8
1003,3,4,2,9
1004,3,5,2,10
1154,3,5,3,11
1170,4,5,3,12
1198,5,5,3,13
1305,5,6,3,14
1458,5,7,3,15
1683,6,7,3,16
1892,6,7,4,17
1964,7,7,4,18
2002,7,7,5,19
2003,7,8,5,20
2007,7,8,6,21
2009,8,8,6,22
2060,8,9,6,23
2149,9,9,6,24
2304,9,10,6,25
2319,10,10,6,26
2321,10,10,7,27
2346,10,10,8,28
2443,10,10,9,29
2490,11,10,9,30
2505,11,11,9,31
2598,12,11,9,32
2599,12,12,9,33
2627,12,13,9,34
2792,13,13,9,35
2861,14,13,9,36
2907,14,14,9,37
2928,14,15,9,38
2953,14,16,9,39
3011,14,16,10,40
3012,14,17,10,41
3028,15,17,10,42
3050,16,17,10,43
3059,16,18,10,44
3210,16,19,10,45
3224,16,19,11,46
3255,16,20,11,47
3312,16,20,12,48
3359,17,20,12,49
3375,18,20,12,50
3491,18,20,13,51
3503,19,20,13,52
3525,19,20,14,53
3629,20,20,14,54
3692,20,21,14,55
3706,20,21,15,56
3763,20,22,15,57
3797,20,23,15,58
3811,21,23,15,59
3826,21,23,16,60
3927,22,23,16,61
3953,22,24,16,62
3993,22,24,17,63
3993,22,24,18,64
4020,23,24,18,65
4023,23,25,18,66
4027,23,26,18,67
4030,23,26,19,68
4046,23,27,19,69
4076,23,28,19,70
4081,23,29,19,71
4089,24,29,19,72
4103,24,29,20,73
4151,24,29,21,74
4202,25,29,21,75
4325,26,29,21,76
4413,26,30,21,77
4462,27,30,21,78
4482,27,31,21,79
4489,27,31,22,80
4503,28,31,22,81
4517,28,31,23,82
4565,28,32,23,83
4605,28,32,24,84
4636,28,33,24,85
4819,28,34,24,86
4836,29,34,24,87
4855,29,34,25,88
4872,30,34,25,89
4931,30,34,26,90
