Time Unit,Vervet Population,Predator Population
1,197,3
2,196,3
3,196,3
4,196,3
5,196,3
6,196,3
7,195,3
8,193,3
9,192,3
10,191,3
11,191,3
12,191,3
13,191,3
14,191,3
15,191,3
16,190,3
17,190,3
18,190,3
19,190,3
20,189,3
21,188,3
22,188,3
23,188,3
24,188,3
25,188,3
26,188,3
27,188,3
28,188,3
29,188,3
30,188,3
31,182,3
32,182,3
33,182,3
34,182,3
35,182,3
36,182,3
37,182,3
38,182,3
39,182,3
40,182,3
41,182,3
42,182,3
43,182,3
44,182,3
45,181,3
46,181,3
47,181,3
48,181,3
49,181,3
50,181,3
51,181,3
52,181,3
53,181,3
54,181,3
55,181,3
56,181,3
57,181,3
58,181,3
59,181,3
60,181,3
61,175,3
62,175,3
63,175,3
64,174,3
65,173,3
66,173,3
67,173,3
68,173,3
69,173,3
70,173,3
71,173,3
72,173,3
73,173,3
74,173,3
75,173,3
76,173,3
77,173,3
78,173,3
79,173,3
80,173,3
81,172,3
82,172,3
83,171,3
84,171,3
85,170,3
86,170,3
87,170,3
88,169,3
89,169,3
90,169,3
91,163,3
92,162,3
93,162,3
94,162,3
95,162,3
96,162,3
97,162,3
98,162,3
99,162,3
100,162,3
101,162,3
102,162,3
103,162,3
104,162,3
105,162,3
106,162,3
107,161,3
108,161,3
109,161,3
110,161,3
111,161,3
112,161,3
113,161,3
114,161,3
115,161,3
116,161,3
117,161,3
118,161,3
119,161,3
120,161,3
121,158,3
122,158,3
123,158,3
124,157,3
125,157,3
126,157,3
127,157,3
128,157,3
129,157,3
130,157,3
131,157,3
132,157,3
133,157,3
134,157,3
135,157,3
136,157,3
137,157,3
138,157,3
139,157,3
140,157,3
141,157,3
142,157,3
143,156,3
144,156,3
145,156,3
146,156,3
147,156,3
148,156,3
149,156,3
150,156,3
151,155,3
152,154,3
153,154,3
154,154,3
155,154,3
156,154,3
157,154,3
158,154,3
159,154,3
160,154,3
161,154,3
162,154,3
163,154,3
164,154,3
165,154,3
166,154,3
167,154,3
168,154,3
169,154,3
170,154,3
171,154,3
172,154,3
173,154,3
174,154,3
175,154,3
176,154,3
177,154,3
178,154,3
179,153,3
180,153,3
181,152,3
182,152,3
183,152,3
184,152,3
185,152,3
186,152,3
187,152,3
188,152,3
189,152,3
190,152,3
191,152,3
192,152,3
193,152,3
194,152,3
195,152,3
196,152,3
197,152,3
198,152,3
199,152,3
200,151,3
201,151,3
202,151,3
203,151,3
204,151,3
205,151,3
206,151,3
207,151,3
208,151,3
209,151,3
210,151,3
211,150,3
212,150,3
213,150,3
214,150,3
215,148,3
216,148,3
217,148,3
218,147,3
219,147,3
220,146,3
221,146,3
222,146,3
223,146,3
224,146,3
225,146,3
226,146,3
227,146,3
228,146,3
229,146,3
230,146,3
231,146,3
232,146,3
233,146,3
234,146,3
235,146,3
236,145,3
237,145,3
238,145,3
239,145,3
240,145,3
241,141,3
242,141,3
243,141,3
244,141,3
245,141,3
246,141,3
247,141,3
248,141,3
249,141,3
250,141,3
251,141,3
252,141,3
253,141,3
254,141,3
255,141,3
256,141,3
257,141,3
258,141,3
259,141,3
260,141,3
261,141,3
262,141,3
263,141,3
264,141,3
265,141,3
266,141,3
267,141,3
268,141,3
269,141,3
270,141,3
271,141,3
272,141,3
273,141,3
274,141,3
275,141,3
276,141,3
277,141,3
278,141,3
279,141,3
280,141,3
281,141,3
282,141,3
283,141,3
284,141,3
285,141,3
286,141,3
287,141,3
288,141,3
289,141,3
290,141,3
291,141,3
292,141,3
293,141,3
294,141,3
295,141,3
296,141,3
297,141,3
298,141,3
299,141,3
300,141,3
301,141,3
302,141,3
303,140,3
304,140,3
305,140,3
306,140,3
307,140,3
308,140,3
309,140,3
310,140,3
311,140,3
312,140,3
313,140,3
314,140,3
315,140,3
316,140,3
317,139,3
318,139,3
319,139,3
320,139,3
321,139,3
322,139,3
323,139,3
324,139,3
325,139,3
326,139,3
327,139,3
328,139,3
329,139,3
330,139,3
331,139,3
332,139,3
333,139,3
334,139,3
335,139,3
336,139,3
337,139,3
338,139,3
339,139,3
340,139,3
341,139,3
342,139,3
343,139,3
344,139,3
345,139,3
346,139,3
347,139,3
348,139,3
349,139,3
350,139,3
351,139,3
352,139,3
353,139,3
354,139,3
355,139,3
356,139,3
357,139,3
358,139,3
359,139,3
360,139,3
361,138,3
362,138,3
363,138,3
364,138,3
365,138,3
366,138,3
367,138,3
368,138,3
369,138,3
370,138,3
371,138,3
372,138,3
373,138,3
374,138,3
375,138,3
376,138,3
377,138,3
378,138,3
379,138,3
380,138,3
381,138,3
382,138,3
383,138,3
384,138,3
385,138,3
386,138,3
387,138,3
388,138,3
389,138,3
390,138,3
391,137,3
392,137,3
393,137,3
394,137,3
395,137,3
396,137,3
397,137,3
398,137,3
399,137,3
400,137,3
401,137,3
402,137,3
403,137,3
404,137,3
405,137,3
406,137,3
407,137,3
408,137,3
409,137,3
410,137,3
411,137,3
412,137,3
413,137,3
414,137,3
415,137,3
416,137,3
417,137,3
418,137,3
419,137,3
420,137,3
421,137,3
422,137,3
423,137,3
424,137,3
425,137,3
426,137,3
427,137,3
428,137,3
429,137,3
430,137,3
431,137,3
432,137,3
433,137,3
434,137,3
435,137,3
436,137,3
437,137,3
438,137,3
439,137,3
440,137,3
441,137,3
442,137,3
443,137,3
444,137,3
445,137,3
446,137,3
447,137,3
448,137,3
449,137,3
450,137,3
451,135,3
452,135,3
453,135,3
454,135,3
455,135,3
456,135,3
457,135,3
458,135,3
459,135,3
460,135,3
461,135,3
462,135,3
463,135,3
464,135,3
465,135,3
466,135,3
467,135,3
468,135,3
469,135,3
470,135,3
471,135,3
472,135,3
473,135,3
474,135,3
475,135,3
476,135,3
477,135,3
478,135,3
479,135,3
480,135,3
481,135,3
482,135,3
483,135,3
484,135,3
485,135,3
486,135,3
487,135,3
488,135,3
489,135,3
490,135,3
491,135,3
492,135,3
493,135,3
494,135,3
495,135,3
496,135,3
497,135,3
498,135,3
499,135,3
500,135,3
501,135,3
502,135,3
503,135,3
504,135,3
505,135,3
506,135,3
507,135,3
508,135,3
509,135,3
510,135,3
511,135,3
512,135,3
513,135,3
514,135,3
515,135,3
516,135,3
517,135,3
518,135,3
519,135,3
520,135,3
521,135,3
522,135,3
523,135,3
524,135,3
525,135,3
526,135,3
527,135,3
528,135,3
529,135,3
530,135,3
531,135,3
532,135,3
533,135,3
534,135,3
535,135,3
536,135,3
537,135,3
538,135,3
539,135,3
540,135,3
541,135,3
542,135,3
543,135,3
544,135,3
545,135,3
546,135,3
547,135,3
548,135,3
549,135,3
550,135,3
551,135,3
552,135,3
553,135,3
554,135,3
555,135,3
556,135,3
557,135,3
558,135,3
559,135,3
560,135,3
561,135,3
562,135,3
563,135,3
564,135,3
565,135,3
566,135,3
567,135,3
568,135,3
569,135,3
570,135,3
571,135,3
572,135,3
573,135,3
574,135,3
575,135,3
576,135,3
577,135,3
578,135,3
579,135,3
580,135,3
581,135,3
582,135,3
583,135,3
584,135,3
585,135,3
586,135,3
587,135,3
588,135,3
589,135,3
590,135,3
591,135,3
592,135,3
593,135,3
594,135,3
595,135,3
596,135,3
597,135,3
598,135,3
599,135,3
600,135,3
601,135,3
602,135,3
603,135,3
604,135,3
605,135,3
606,135,3
607,135,3
608,135,3
609,135,3
610,135,3
611,135,3
612,135,3
