Time Unit,Vervet Population,Leopard Population,Hawk Population,Python Population,Predator Population,Deaths due to Leopard,Deaths due to Hawk,Deaths due to Python,Total Predation Deaths,Starvation Deaths,Average Fear Level,Average Hunger Level,Average Energy Level
1,196,1,1,1,3,0,0,0,0,4,0,484.8599325054464,504.9359858619006
2,196,1,1,1,3,0,0,0,0,4,0,483.18247261774013,506.61344574960657
3,195,1,1,1,3,0,0,0,0,5,0,478.59981915152355,511.14377059206623
4,195,1,1,1,3,0,0,0,0,5,0,476.2830583518891,513.4605313917008
5,195,1,1,1,3,0,0,0,0,5,0,473.92869167393866,515.8148980696511
6,195,1,1,1,3,0,0,0,0,5,0,471.6061754631886,518.1374142804009
7,195,1,1,1,3,0,0,0,0,5,0,469.31281557804346,520.430774165546
8,195,1,1,1,3,0,0,0,0,5,0,466.5878579536236,523.1557317899662
9,195,1,1,1,3,0,0,0,0,5,0,463.3077585245361,526.4358312190537
10,194,1,1,1,3,0,0,0,0,6,0,457.1621144267877,532.5286072226969
11,194,1,1,1,3,0,0,0,0,6,0,454.26249744246303,535.4282242070217
12,194,1,1,1,3,0,0,0,0,6,0,451.2488866068271,538.4418350426574
13,193,1,1,1,3,0,0,0,0,7,0,445.0920206824586,544.5452850170234
14,193,1,1,1,3,0,0,0,0,7,0,441.4384586444859,548.1988470549958
15,192,1,1,1,3,0,1,0,1,7,0,435.9666312256936,553.61670210764
16,192,1,1,1,3,0,1,0,1,7,0,432.0274665433704,557.5558667899628
17,191,1,1,1,3,0,1,0,1,8,0,425.1863738847336,564.342421926785
18,191,1,1,1,3,0,1,0,1,8,0,421.6311079102899,567.8976879012286
19,191,1,1,1,3,0,1,0,1,8,0,417.9518423021373,571.5769535093808
20,191,1,1,1,3,0,1,0,1,8,0,414.48992412268143,575.0388716888372
21,191,1,1,1,3,0,1,0,1,8,0,411.0738998914681,578.4548959200507
22,191,1,1,1,3,0,1,0,1,8,0,407.51147779655633,582.017318014962
23,191,1,1,1,3,0,1,0,1,8,0,404.21447204385004,585.3143237676678
24,190,1,1,1,3,0,1,0,1,9,0,398.14239075432744,591.3312934561985
25,189,1,1,1,3,0,1,0,1,10,0,392.4241540372887,596.9938353807008
26,187,1,1,1,3,1,1,0,2,11,0,388.1978295189287,601.1069833152955
27,187,1,1,1,3,1,1,0,2,11,0,385.89645318754623,603.4083596466782
28,187,1,1,1,3,1,1,0,2,11,0,383.64244307851715,605.6623697557073
29,186,1,1,1,3,1,1,0,2,12,0,378.25099193012556,610.9963198978313
30,186,1,1,1,3,1,1,0,2,12,0,426.1753830512289,563.0719287767284
31,182,1,1,1,3,1,1,0,2,16,0,405.85961809435076,583.1513709166386
32,182,1,1,1,3,1,1,0,2,16,0,400.26422709039423,588.7467619205947
33,182,1,1,1,3,1,1,0,2,16,0,397.37798816176013,591.6330008492289
34,182,1,1,1,3,1,1,0,2,16,0,394.9135821934279,594.0974068175608
35,182,1,1,1,3,1,1,0,2,16,0,392.6122721794982,596.398716831491
36,182,1,1,1,3,1,1,0,2,16,0,390.0671441932622,598.9438448177268
37,182,1,1,1,3,1,1,0,2,16,0,387.84892894680326,601.1620600641857
38,182,1,1,1,3,1,1,0,2,16,0,385.52441085071945,603.4865781602697
39,182,1,1,1,3,1,1,0,2,16,0,383.3599379721264,605.6510510388628
40,182,1,1,1,3,1,1,0,2,16,0,381.1778648145207,607.8331241964685
41,182,1,1,1,3,1,1,0,2,16,0,378.7463791813993,610.2646098295896
42,182,1,1,1,3,1,1,0,2,16,0,376.36160012611106,612.649388884878
43,182,1,1,1,3,1,1,0,2,16,0,374.13621684556057,614.8747721654283
44,182,1,1,1,3,1,1,0,2,16,0,371.76079126044436,617.2501977505443
45,182,1,1,1,3,1,1,0,2,16,0,369.27219521857023,619.7387937924188
46,182,1,1,1,3,1,1,0,2,16,0,366.96223704228805,622.0487519687011
47,182,1,1,1,3,1,1,0,2,16,0,364.62566629681044,624.3853227141788
48,182,1,1,1,3,1,1,0,2,16,0,362.5362434475488,626.4747455634406
49,182,1,1,1,3,1,1,0,2,16,0,360.90703006241995,628.103958948569
50,182,1,1,1,3,1,1,0,2,16,0,359.1101278934206,629.9008611175683
51,182,1,1,1,3,1,1,0,2,16,0,357.3509702453783,631.6600187656107
52,182,1,1,1,3,1,1,0,2,16,0,355.5336680460116,633.4773209649773
53,182,1,1,1,3,1,1,0,2,16,0,353.22778164050214,635.7832073704873
54,182,1,1,1,3,1,1,0,2,16,0,351.4311683439588,637.5798206670303
55,182,1,1,1,3,1,1,0,2,16,0,349.454771733225,639.5562172777641
56,182,1,1,1,3,1,1,0,2,16,0,347.6605631022458,641.3504259087435
57,182,1,1,1,3,1,1,0,2,16,0,346.0076197863577,643.0033692246305
58,182,1,1,1,3,1,1,0,2,16,0,344.2754962709207,644.7354927400685
59,182,1,1,1,3,1,1,0,2,16,0,342.37739265955753,646.6335963514315
60,182,1,1,1,3,1,1,0,2,16,0,388.96678583229897,600.0442031786899
61,175,1,1,1,3,1,1,0,2,23,0,354.0957385423441,634.4756900290848
62,175,1,1,1,3,1,1,0,2,23,0,347.555831009867,641.0155975615614
63,175,1,1,1,3,1,1,0,2,23,0,344.94050405200545,643.6309245194232
64,175,1,1,1,3,1,1,0,2,23,0,342.9024049448814,645.669023626547
65,175,1,1,1,3,1,1,0,2,23,0,340.6855496281744,647.8858789432542
66,175,1,1,1,3,1,1,0,2,23,0,338.76261135818754,649.8088172132412
67,175,1,1,1,3,1,1,0,2,23,0,337.2307034264073,651.3407251450213
68,175,1,1,1,3,1,1,0,2,23,0,335.6078502232037,652.9635783482253
69,174,1,1,1,3,1,1,1,3,23,0,335.8119281656099,652.6938189608265
70,174,1,1,1,3,1,1,1,3,23,0,334.78806410859346,653.7176830178431
