Time Unit,Vervet Population,Leopard Population,Hawk Population,Python Population,Predator Population,Deaths due to Leopard,Deaths due to Hawk,Deaths due to Python,Total Predation Deaths,Starvation Deaths,Average Fear Level,Average Hunger Level,Average Energy Level
1,99,2,2,2,6,0,0,0,0,1,0.0,516.5062468447829,483.4937531552171
2,99,2,2,2,6,0,0,0,0,1,0.0,516.5061693255981,483.49383067440175
3,99,2,2,2,6,0,0,0,0,1,0.0,516.5060918064133,483.49390819358666
4,99,2,2,2,6,0,0,0,0,1,0.0,516.5060142872285,483.4939857127716
5,99,2,2,2,6,0,0,0,0,1,0.0,516.5059367680436,483.49406323195655
6,99,2,2,2,6,0,0,0,0,1,0.0,516.5058592488589,483.49414075114106
7,99,2,2,2,6,0,0,0,0,1,0.0,516.5057817296741,483.4942182703258
8,99,2,2,2,6,0,0,0,0,1,0.0,516.5057042104893,483.4942957895107
9,99,2,2,2,6,0,0,0,0,1,0.0,516.5056266913048,483.4943733086952
10,99,2,2,2,6,0,0,0,0,1,0.0,516.5055491721199,483.4944508278799
11,99,2,2,2,6,0,0,0,0,1,0.0,516.5054716529353,483.49452834706483
12,99,2,2,2,6,0,0,0,0,1,0.0,516.5053941337504,483.4946058662495
13,99,2,2,2,6,0,0,0,0,1,0.0,516.5053166145656,483.4946833854344
14,99,2,2,2,6,0,0,0,0,1,0.0,516.5052390953806,483.4947609046193
15,99,2,2,2,6,0,0,0,0,1,0.0,516.5051615761963,483.4948384238037
16,99,2,2,2,6,0,0,0,0,1,0.0,516.5050840570115,483.49491594298865
17,99,2,2,2,6,0,0,0,0,1,0.0,516.5050065378266,483.4949934621734
18,99,2,2,2,6,0,0,0,0,1,0.0,516.504929018642,483.49507098135786
19,99,2,2,2,6,0,0,0,0,1,0.0,516.5048514994573,483.49514850054277
20,99,2,2,2,6,0,0,0,0,1,0.0,516.5047739802724,483.49522601972774
21,99,2,2,2,6,0,0,0,0,1,0.0,516.5046964610877,483.49530353891225
22,99,2,2,2,6,0,0,0,0,1,0.0,516.5046189419028,483.4953810580971
23,99,2,2,2,6,0,0,0,0,1,0.0,516.504541422718,483.495458577282
