Time Unit,Vervet Population,Leopard Population,Hawk Population,Python Population,Predator Population,Deaths due to Leopard,Deaths due to Hawk,Deaths due to Python,Total Predation Deaths,Starvation Deaths,Average Fear Level,Average Hunger Level,Average Energy Level
1,300,10,10,10,30,0,0,0,0,0,0.0,1.0,999.0
2,300,10,10,10,30,0,0,0,0,0,0.0,2.0,998.0
3,300,10,10,10,30,0,0,0,0,0,0.0,3.0,997.0
4,300,10,10,10,30,0,0,0,0,0,0.0,4.0,996.0
5,300,10,10,10,30,0,0,0,0,0,0.0,5.0,995.0
6,300,10,10,10,30,0,0,0,0,0,0.0,6.0,994.0
7,300,10,10,10,30,0,0,0,0,0,0.0,7.0,993.0
8,300,10,10,10,30,0,0,0,0,0,0.0,8.0,992.0
9,300,10,10,10,30,0,0,0,0,0,0.0,9.0,991.0
10,300,10,10,10,30,0,0,0,0,0,189.53333333333333,10.095,989.9049999999994
11,300,10,10,10,30,0,0,0,0,0,189.06666666666666,11.189766666666664,988.8102333333336
12,300,10,10,10,30,0,0,0,0,0,189.98666666666668,12.284993333333334,987.7150066666668
13,300,10,10,10,30,0,0,0,0,0,189.52,13.37998666666667,986.6200133333338
14,300,10,10,10,30,0,0,0,0,0,189.05333333333334,14.474746666666645,985.5252533333343
15,300,10,10,10,30,0,0,0,0,0,188.58666666666667,15.569273333333337,984.4307266666666
16,300,10,10,10,30,0,0,0,0,0,188.46666666666667,16.663739999999997,983.3362599999999
17,300,10,10,10,30,0,0,0,0,0,188.0,17.757973333333343,982.2420266666671
18,300,10,10,10,30,0,0,0,0,0,187.53333333333333,18.85197333333335,981.1480266666663
19,300,10,10,10,30,0,0,0,0,0,187.06666666666666,19.945739999999997,980.0542600000008
20,300,10,10,10,30,0,0,0,0,0,188.21333333333334,21.04008000000002,978.9599200000001
21,299,10,10,10,30,0,0,0,0,0,188.37458193979933,22.13797993311038,977.8620200668901
22,299,10,10,10,30,0,0,0,0,0,187.90635451505017,23.23216722408027,976.7678327759195
23,299,10,10,10,30,0,0,0,0,0,187.438127090301,24.3261204013378,975.6738795986622
24,299,10,10,10,30,0,0,0,0,0,189.01672240802677,25.42086287625422,974.579137123746
25,299,10,10,10,30,0,0,0,0,0,188.54849498327758,26.5153712374582,973.4846287625418
26,299,10,10,10,30,0,0,0,0,0,188.08026755852842,27.60964548494985,972.39035451505
27,299,10,10,10,30,0,0,0,0,0,187.61204013377926,28.70368561872911,971.2963143812718
28,299,10,10,10,30,0,0,0,0,0,188.58862876254182,29.798214046822764,970.2017859531777
29,299,10,10,10,30,0,0,0,0,0,188.12040133779263,30.892508361204026,969.107491638796
30,299,10,10,10,30,0,0,0,0,0,187.65217391304347,31.986568561872904,968.0134314381269
31,299,10,10,10,30,0,0,0,0,0,187.1839464882943,33.08039464882942,966.9196053511712
32,299,10,10,10,30,0,0,0,0,0,186.70234113712374,34.17397993311037,965.8260200668901
33,299,10,10,10,30,0,0,0,0,0,186.23411371237458,35.267331103678934,964.732668896321
34,299,10,10,10,30,0,0,0,0,0,185.76588628762542,36.36044816053514,963.6395518394636
35,299,10,10,10,30,0,0,0,0,0,185.29765886287626,37.453331103678934,962.5466688963207
36,299,10,10,10,30,0,0,0,0,0,185.01672240802677,38.54607357859533,961.4539264214051
37,299,10,10,10,30,0,0,0,0,0,184.54849498327758,39.63858193979935,960.3614180602011
38,299,10,10,10,30,0,0,0,0,0,184.08026755852842,40.73085618729097,959.2691438127092
39,299,10,10,10,30,0,0,0,0,0,183.61204013377926,41.82289632107027,958.1771036789297
40,299,10,10,10,30,0,0,0,0,0,184.41471571906354,42.91533779264216,957.0846622073581
41,299,10,10,10,30,0,0,0,0,0,183.94648829431438,44.00754515050168,955.9924548494981
42,299,10,10,10,30,0,0,0,0,0,183.47826086956522,45.09951839464887,954.9004816053517
43,298,10,10,10,30,0,0,0,0,0,183.6241610738255,46.20196644295302,953.7980335570468
44,298,10,10,10,30,0,0,0,0,0,182.85906040268458,47.29363087248326,952.7063691275165
45,298,10,10,10,30,0,0,0,0,0,182.38926174496643,48.385060402684566,951.6149395973151
